LINE_NO,LATITUDE,LONGITUDE,LMT_DATE,LMT_TIME,HEIGHT,Collar_ID,TEMP
7,38.9651056,-104.7199802,12/24/2010,00:03:12,2085.15,2925,12
21,38.9868929,-104.8853130,12/30/2010,12:02:35,2109.06,2925,8
22,38.9915310,-104.8809387,12/30/2010,18:02:18,2102.16,2925,-6
23,38.9897595,-104.8835021,12/31/2010,00:00:54,2114.72,2925,-10
24,38.9897322,-104.8834069,12/31/2010,06:01:23,2112.11,2925,-11
25,38.9897872,-104.8822524,12/31/2010,12:01:18,2085.50,2925,-5
26,38.9891388,-104.8861632,12/31/2010,18:02:22,2104.51,2925,-11
27,38.9920175,-104.8790876,1/1/2011,00:01:22,2091.05,2925,-12
28,38.9913257,-104.8773628,1/1/2011,06:01:24,2076.28,2925,-10
29,38.9865838,-104.8777641,1/1/2011,12:01:31,2087.89,2925,-1
30,38.9883468,-104.8810152,1/1/2011,18:02:50,2084.43,2925,-6
31,38.9882187,-104.8809648,1/2/2011,00:01:23,2094.05,2925,-4
32,38.9881984,-104.8810324,1/2/2011,06:02:41,2088.90,2925,-2
33,38.9873654,-104.8851609,1/2/2011,12:01:42,2095.10,2925,8
34,38.9835189,-104.8871351,1/2/2011,18:02:17,2203.25,2925,3
35,38.9839635,-104.8871583,1/3/2011,00:01:54,2153.37,2925,1
36,38.9863873,-104.8831100,1/3/2011,06:01:50,2151.41,2925,2
37,38.9846060,-104.8811550,1/3/2011,12:01:53,2130.38,2925,12
38,38.9869482,-104.8878936,1/3/2011,18:01:16,2133.27,2925,-2
39,38.9864155,-104.8862834,1/4/2011,00:00:55,2134.84,2925,-3
40,38.9943591,-104.8769751,1/4/2011,06:01:23,2125.84,2925,-6
41,38.9944651,-104.8772567,1/4/2011,12:01:51,2122.42,2925,6
42,38.9944140,-104.8759233,1/4/2011,18:00:55,2126.25,2925,2
43,38.9884164,-104.8810749,1/5/2011,00:03:09,2125.74,2925,1
45,38.9859043,-104.8809704,1/5/2011,12:02:03,2119.14,2925,14
46,38.9827759,-104.8839358,1/5/2011,18:02:05,2141.48,2925,2
47,38.9819867,-104.8854315,1/6/2011,00:01:18,2124.19,2925,2
48,38.9837008,-104.8868372,1/6/2011,06:01:55,2124.24,2925,4
49,38.9843646,-104.8878121,1/6/2011,12:02:11,2155.56,2925,13
51,38.9923805,-104.8901306,1/7/2011,00:02:24,2154.09,2925,8
52,38.9923985,-104.8900623,1/7/2011,06:03:03,2164.34,2925,7
53,38.9895579,-104.8889127,1/7/2011,12:02:42,2175.76,2925,13
54,38.9864815,-104.8882665,1/7/2011,18:01:52,2170.27,2925,1
55,38.9866999,-104.8884944,1/8/2011,00:01:25,2159.39,2925,2
56,38.9866736,-104.8881742,1/8/2011,06:02:27,2166.17,2925,2
57,38.9877278,-104.8861050,1/8/2011,12:02:24,2142.34,2925,13
58,38.9899384,-104.8910859,1/8/2011,18:02:23,2199.85,2925,5
59,38.9900916,-104.8912471,1/9/2011,00:00:55,2201.09,2925,6
60,38.9909258,-104.8924886,1/9/2011,06:01:57,2201.07,2925,2
61,38.9915271,-104.8815484,1/9/2011,12:01:25,2126.53,2925,2
62,38.9932233,-104.8751118,1/9/2011,18:01:30,2124.30,2925,-5
63,38.9937784,-104.8707262,1/10/2011,00:01:23,2065.64,2925,-8
64,38.9924882,-104.8718681,1/10/2011,06:01:52,2056.67,2925,-8
65,38.9938486,-104.8762541,1/10/2011,12:01:01,2071.90,2925,4
66,38.9935066,-104.8777260,1/10/2011,18:02:26,2064.78,2925,-8
67,38.9927216,-104.8772236,1/11/2011,00:01:17,2089.82,2925,-10
68,38.9912084,-104.8778890,1/11/2011,06:00:54,2065.35,2925,-8
69,38.9850014,-104.8799774,1/11/2011,12:02:24,2119.04,2925,7
70,38.9832456,-104.8836536,1/11/2011,18:01:52,2116.76,2925,-7
71,38.9846967,-104.8841061,1/12/2011,00:01:11,2127.47,2925,-10
73,38.9940445,-104.8841171,1/12/2011,12:01:52,2146.75,2925,16
74,38.9890823,-104.8937947,1/12/2011,18:01:22,2188.56,2925,-2
76,38.9862658,-104.8845346,1/13/2011,06:01:41,2118.81,2925,6
77,38.9846031,-104.8841633,1/13/2011,12:02:17,2110.11,2925,14
80,38.9891930,-104.8941865,1/14/2011,06:01:23,2219.46,2925,4
81,38.9939347,-104.8860886,1/14/2011,12:02:55,2171.34,2925,11
82,38.9883028,-104.8875912,1/14/2011,18:01:58,2171.53,2925,4
83,38.9888691,-104.8945828,1/15/2011,00:01:42,2219.40,2925,3
84,38.9906274,-104.8991937,1/15/2011,06:02:51,2221.35,2925,8
85,38.9867066,-104.8919187,1/15/2011,12:02:11,2210.93,2925,11
87,38.9883898,-104.8866982,1/16/2011,00:01:49,2118.27,2925,3
88,38.9887404,-104.8849558,1/16/2011,06:02:09,2119.44,2925,3
89,38.9828098,-104.8802279,1/16/2011,12:00:47,2122.51,2925,10
90,38.9895884,-104.8807609,1/16/2011,18:02:18,2087.34,2925,9
91,38.9883134,-104.8816135,1/17/2011,00:01:27,2085.84,2925,12
92,38.9896699,-104.8808262,1/17/2011,06:00:53,2087.28,2925,9
93,38.9909639,-104.8792354,1/17/2011,12:03:10,2084.59,2925,13
94,38.9927681,-104.8751676,1/17/2011,18:01:59,2085.03,2925,8
95,38.9896225,-104.8808315,1/18/2011,00:02:21,2085.84,2925,4
96,38.9857183,-104.8766152,1/18/2011,06:01:55,2106.51,2925,4
98,38.9847289,-104.8897150,1/18/2011,18:02:23,2126.24,2925,6
99,38.9838950,-104.8879214,1/19/2011,00:01:52,2132.57,2925,4
100,38.9811321,-104.8832487,1/19/2011,06:02:18,2131.78,2925,0
101,38.9810459,-104.8798503,1/19/2011,12:02:22,2132.49,2925,9
102,38.9899039,-104.8823484,1/19/2011,18:00:55,2110.81,2925,-5
103,38.9941903,-104.8748583,1/20/2011,00:01:24,2117.20,2925,-8
104,38.9941213,-104.8764869,1/20/2011,06:02:53,2113.96,2925,-6
105,38.9858122,-104.8792350,1/20/2011,12:01:23,2112.69,2925,3
106,38.9834866,-104.8815784,1/20/2011,18:01:51,2107.54,2925,-4
108,38.9880671,-104.8814905,1/21/2011,06:02:28,2105.32,2925,3
109,38.9895973,-104.8824237,1/21/2011,12:02:30,2106.78,2925,9
110,38.9945078,-104.8748632,1/21/2011,18:02:42,2108.62,2925,2
111,38.9945524,-104.8753992,1/22/2011,00:00:55,2123.17,2925,0
112,38.9896072,-104.8776358,1/22/2011,06:03:12,2122.90,2925,5
113,38.9881728,-104.8814839,1/22/2011,12:02:45,2122.61,2925,11
114,38.9860583,-104.8755173,1/22/2011,18:02:31,2121.86,2925,1
116,38.9929822,-104.8768951,1/23/2011,06:01:51,2120.83,2925,-3
118,38.9890651,-104.8874872,1/23/2011,18:01:24,2138.46,2925,3
119,38.9884749,-104.8845949,1/24/2011,00:02:22,2136.79,2925,4
120,38.9899508,-104.8866639,1/24/2011,06:01:11,2137.76,2925,0
122,38.9914684,-104.8881274,1/24/2011,18:01:45,2171.14,2925,-3
123,38.9912501,-104.8896313,1/25/2011,00:01:11,2186.78,2925,-7
124,38.9899955,-104.8928399,1/25/2011,06:01:24,2190.42,2925,-5
125,38.9842691,-104.8838797,1/25/2011,12:01:48,2128.92,2925,11
126,38.9910867,-104.8832591,1/25/2011,18:01:18,2145.62,2925,2
129,38.9906472,-104.8802678,1/26/2011,12:02:45,2143.94,2925,12
130,38.9855984,-104.8866814,1/26/2011,18:01:12,2119.78,2925,0
131,38.9883670,-104.8878710,1/27/2011,00:02:57,2115.04,2925,3
133,38.9841396,-104.8909653,1/27/2011,12:02:59,2119.66,2925,13
134,38.9842298,-104.8839295,1/27/2011,18:02:47,2129.54,2925,7
135,38.9826460,-104.8846196,1/28/2011,00:02:12,2143.41,2925,4
136,38.9897637,-104.8807173,1/28/2011,06:01:23,2136.41,2925,7
137,38.9842756,-104.8775891,1/28/2011,12:01:50,2104.19,2925,17
138,38.9845397,-104.8809572,1/28/2011,18:00:55,2117.23,2925,10
139,38.9830248,-104.8847842,1/29/2011,00:02:21,2118.44,2925,3
140,38.9817671,-104.8853217,1/29/2011,06:02:07,2130.49,2925,11
141,38.9886232,-104.8890238,1/29/2011,12:01:48,2140.29,2925,21
142,38.9903583,-104.8865806,1/29/2011,18:01:54,2169.26,2925,4
143,38.9859769,-104.8875191,1/30/2011,00:01:47,2167.99,2925,-1
